EntrezGeneID	Length	MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1	MCL1-DH_BC2CTUACXX_CAGATC_L002_R1	MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1	MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1	MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1	MCL1-DL_BC2CTUACXX_ATCACG_L002_R1	MCL1-LA_BC2CTUACXX_GATCAG_L001_R1	MCL1-LB_BC2CTUACXX_TGACCA_L001_R1	MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1	MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1	MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1	MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1
21419	6391	1715	1540	1545	1787	2114	2638	1918	1692	200	61	99	85
241035	12928	0	0	0	0	0	1	14	22	3	0	0	0
75028	786	0	0	0	0	0	0	0	0	0	0	0	0
387202	73	0	0	0	0	0	0	0	0	0	0	0	0
723817	119	0	0	0	0	0	0	0	0	0	0	0	0
16171	1171	0	0	0	0	0	0	0	0	0	0	0	0
257630	1178	2	0	1	0	0	0	0	0	0	0	0	2
17215	2886	1394	1176	733	504	143	116	1737	1458	1102	354	552	591
77741	1120	0	4	1	1	0	0	1	2	0	0	0	0
74229	4420	154	164	101	84	77	70	32	37	3	6	1	1
71877	2208	88	77	38	62	75	77	33	37	4	11	5	5
170829	1409	145	109	65	76	92	90	117	99	55	61	51	54
75712	1112	52	78	77	109	90	98	43	50	4	12	4	3
14859	1450	4	2	3	4	8	5	6	8	32	89	38	35
241041	1148	0	0	0	0	0	0	0	0	0	0	0	0
368204	1950	0	0	2	0	3	1	0	1	0	0	0	0
433278	844	1	0	0	0	2	3	0	0	0	0	0	0
98582	2247	1	1	1	2	2	4	0	0	0	0	0	0
226922	6980	1080	1113	881	947	1662	2240	1	4	2	2	1	3
116837	4066	2	10	4	0	5	3	0	0	0	0	0	0
66755	1781	0	0	0	0	0	0	0	1	0	0	0	0
387225	71	0	0	0	0	0	0	0	0	0	0	0	0
723964	84	0	0	0	0	0	0	0	0	0	0	1	0
70155	4844	372	332	619	396	401	401	3240	2982	7155	5882	2986	2709
100503399	1522	0	0	3	0	0	0	3	2	10	6	10	5
280645	4362	56	70	95	77	56	66	49	60	69	84	37	47
98366	2259	739	808	850	814	774	736	473	562	599	535	453	439
68002	667	99	73	95	134	89	123	182	148	102	101	112	105
68187	6467	940	840	637	550	836	906	547	575	519	505	310	347
12839	3888	245	725	1818	1461	197	181	825	1603	3121	3790	4874	5597
12823	10542	7	6	3	5	0	0	1	3	1	3	4	1
68421	5392	1230	1176	1241	1444	1501	1512	1232	1413	1139	1323	587	513
210933	5522	1	0	0	0	0	0	0	0	0	0	0	0
100504323	1551	0	0	0	0	0	0	0	0	0	0	0	0
210940	4331	0	0	0	0	0	0	0	0	0	0	0	0
433281	2004	0	0	0	0	0	0	0	0	0	0	0	0
665903	467	174	193	168	144	121	97	212	219	208	132	72	84
210962	2882	0	0	0	0	0	0	0	0	0	0	0	0
623924	306	0	0	0	0	0	0	0	0	0	0	0	0
791350	1160	0	0	0	0	0	0	0	0	0	0	0	0
213109	7561	2798	2504	1902	1740	2231	2194	2611	2740	1825	1709	802	776
19243	4129	2493	2611	2068	1697	1719	1392	2009	1986	1268	1150	681	599
70988	1094	0	0	0	0	0	0	0	0	0	0	0	0
266744	1903	0	0	0	0	0	0	0	0	0	0	0	0
74708	1449	0	0	0	0	0	0	0	0	0	0	0	0
226957	914	0	0	0	0	2	0	0	0	2	1	0	0
624262	762	7	2	3	2	2	1	5	5	5	1	1	1
170771	1359	0	4	3	0	0	1	0	0	0	0	0	0
408192	1437	0	0	0	0	0	0	0	0	0	0	0	1
408191	3748	0	0	0	0	0	0	0	0	0	0	0	0
19076	1937	425	388	339	275	177	176	537	496	370	239	195	166
67503	889	9	9	4	11	4	5	2	3	9	3	1	2
19335	4487	319	271	245	244	342	354	193	212	48	46	43	46
213539	1815	804	1071	2241	1917	1276	1036	534	577	708	600	222	232
98403	3650	543	489	618	548	396	460	492	567	350	295	134	168
433287	3016	222	214	186	160	124	116	183	208	161	114	68	92
320705	2292	2	3	1	1	3	0	8	5	3	13	5	8
13518	23242	31072	36904	16894	27489	56478	44370	7210	6921	4323	5308	3578	3500
100628580	79	1	0	0	0	0	1	0	1	2	0	1	1
69668	1705	250	216	241	136	90	96	244	289	224	169	115	152
27993	2249	782	689	633	472	321	354	969	902	958	762	430	465
52318	3559	281	241	213	148	94	100	373	349	184	152	80	86
19253	1578	47	53	64	47	15	14	1099	1345	1223	1359	985	1184
21755	1246	0	0	0	0	0	0	0	1	2	2	2	0
12627	1038	0	0	0	0	0	0	0	0	0	0	0	0
21756	1301	1	1	2	2	2	2	0	0	0	0	0	0
211383	4356	0	0	0	0	0	0	0	0	0	0	0	0
241051	2676	0	0	0	0	1	0	0	0	0	0	0	0
226970	2714	181	228	251	169	138	152	70	65	42	43	10	4
214469	5080	6028	5643	6557	5811	5162	4708	4211	4752	4091	3482	1764	1717
226971	5469	488	557	398	361	314	268	1395	1428	329	377	262	247
50785	3719	4283	3843	3703	3682	2181	1817	3587	3776	5203	4797	2101	2097
320011	9029	2932	2375	2220	2113	1951	2043	2730	2692	3120	2388	2553	2691
214854	2583	204	294	63	29	44	26	67	79	7	6	14	15
214855	5699	19388	14215	6976	6965	10862	10687	3911	3897	1590	1328	1643	1777
226976	4663	2331	2293	2202	2021	1987	1817	2254	2375	1815	1660	825	855
214895	2225	367	287	297	246	273	254	696	778	356	302	406	382
94220	4582	1581	1359	998	698	658	617	685	740	346	212	284	322
94218	5283	396	268	117	121	101	173	519	454	318	240	319	349
78321	1954	128	105	92	105	110	119	139	203	103	95	105	125
109346	1786	96	101	133	112	98	115	140	163	106	86	97	124
20353	3805	7026	5219	5233	4421	2553	2422	6550	6010	2300	2049	978	792
381337	2577	14	6	17	16	18	13	35	44	91	42	4	2
12859	569	646	583	787	780	476	464	857	833	908	717	596	619
226977	2077	2703	2537	2563	2524	2471	2248	1965	2234	2116	1835	1304	1306
71166	1127	8	9	12	9	5	3	3	2	1	1	1	1
22637	2180	1	19	13	10	2	4	1	4	0	0	1	0
56030	6548	2896	2643	2665	2640	2830	2695	1910	2204	2038	1728	954	947
70853	4422	14	7	2	7	6	7	2	1	2	0	0	0
12790	3498	4	16	3	3	6	3	0	3	0	0	0	0
269180	6817	699	572	627	538	868	823	333	384	322	336	128	131
76178	3862	808	737	844	803	801	768	1507	1654	1962	1589	1059	1225
67387	1412	529	511	464	424	400	439	558	666	575	506	375	344
269181	7054	1008	982	810	708	848	787	1683	1737	1672	1520	1062	1048
77633	2755	111	134	172	103	92	72	141	120	128	121	107	95
100861893	736	0	0	0	0	0	0	0	0	0	0	0	0
72097	4361	22	14	46	32	16	12	856	1015	948	819	582	599
100503734	2218	0	0	0	0	0	0	0	0	0	2	2	3
211484	3400	27	36	36	36	41	43	47	57	33	46	18	17
623661	1555	26	26	39	23	49	29	48	43	55	71	21	21
69028	1229	171	208	236	197	312	240	139	153	112	85	116	115
107734	691	480	431	494	534	454	384	535	584	403	365	221	228
332427	2564	0	0	0	0	0	0	0	0	0	0	0	0
69541	798	0	0	0	0	0	0	0	1	3	10	2	1
98258	4596	870	755	836	760	804	759	1207	1475	1311	1298	440	400
226982	7797	4112	3876	4855	4156	3336	2740	4480	4686	5629	6043	2501	2550
56210	4262	518	530	693	574	420	404	527	523	607	541	354	351
16764	6010	363	327	325	278	231	226	5	5	0	1	0	0
381338	5077	0	5	0	1	0	1	1	0	1	1	0	0
98388	3120	24	9	48	29	32	55	13	19	24	14	1	1
100503760	2386	0	0	0	0	0	0	1	0	0	0	0	0
433292	1001	0	0	0	0	0	0	0	0	0	0	0	0
68833	1706	1282	1119	1698	1844	2032	1833	981	1202	720	629	230	316
18143	4180	24	25	14	29	12	12	179	310	256	315	462	380
114641	1254	1655	1862	1804	1569	987	889	2350	2596	1863	1601	669	673
54610	4440	482	470	306	248	246	288	942	1310	2334	2274	4091	4547
52846	3170	948	806	602	530	405	474	489	509	419	311	158	168
100217461	94	21	17	14	13	3	4	10	3	4	8	0	0
67702	2434	2943	3143	2005	1673	815	742	1698	1855	2553	2371	1947	1942
263764	5799	26	16	19	20	0	1	0	1	6	4	0	0
619289	2000	1	2	1	2	2	0	0	2	1	2	1	0
100042065	359	0	2	0	0	0	0	0	0	0	0	0	0
73426	531	0	0	0	0	0	0	0	0	1	0	0	0
26921	5974	6042	5787	6242	5804	6128	5980	4341	4710	4492	4869	985	923
100047133	858	1	0	9	7	7	9	0	0	0	1	0	0
16178	1343	12	12	42	90	110	89	5	4	0	1	8	3
16177	5035	394	462	369	409	266	255	640	700	133	193	120	112
107527	1950	108	211	62	67	37	34	85	104	48	62	162	163
17082	6967	13	23	93	25	9	5	4	2	7	2	2	1
16182	4781	92	51	40	28	4	5	639	534	348	761	453	629
16174	2487	6	2	7	1	2	2	26	51	36	54	104	132
110895	3822	0	3	15	16	24	21	16	13	337	750	3110	3596
226999	3493	19	10	8	3	6	6	34	48	51	79	409	425
211798	3152	35	21	18	16	6	13	86	47	66	80	73	85
381339	1096	3	7	25	26	24	31	2	1	1	3	2	3
74897	573	0	0	0	0	0	0	0	0	0	0	0	0
66297	546	0	0	0	0	0	0	0	0	0	0	0	0
18993	3065	0	1	0	0	0	0	0	1	1	0	0	0
73100	2841	0	0	1	0	0	0	0	0	0	0	0	0
69527	1419	507	408	437	436	370	305	620	664	404	351	174	149
93690	3860	0	0	1	1	1	0	1	0	0	0	0	0
73122	5538	679	526	581	473	629	678	680	692	760	669	499	545
98404	3457	402	280	357	362	433	554	278	271	206	187	149	150
14200	1563	908	1068	1803	1700	1208	1134	341	467	174	208	14	21
666642	647	750	862	815	726	491	423	1041	1091	836	828	345	376
17974	2775	1592	1614	2049	1946	1754	1763	3498	4109	558	658	365	352
100861934	1421	2	2	1	6	2	2	3	11	12	19	1	3
78896	888	3414	4153	11991	9261	1445	1155	42	35	23	12	0	2
67883	1263	181	148	120	85	64	77	449	332	127	129	180	186
100503192	585	481	504	522	510	428	412	736	756	760	677	465	466
22019	4649	2444	3036	3416	2632	1989	1522	2438	2773	3076	3017	1482	1331
433294	1086	0	0	1	0	2	0	1	0	1	2	3	0
75623	1265	659	527	489	333	268	232	505	429	450	306	477	393
72050	2324	1412	1178	1284	1188	875	828	525	463	354	290	214	177
246229	3571	179	110	127	114	140	168	212	200	109	167	97	79
22592	4010	656	585	583	579	693	657	349	379	276	298	155	178
100861960	766	0	0	0	0	0	0	0	0	0	0	0	0
403183	3181	0	0	0	0	0	0	0	0	0	0	0	0
70676	2976	624	888	717	944	897	865	127	239	185	341	524	616
75066	906	1	2	2	0	2	1	1	0	3	1	1	1
12825	5564	1349	1844	3202	3285	2083	1713	441	783	723	446	696	763
12832	6615	5409	4982	1597	2337	4816	4891	62	87	79	50	48	59
73674	2612	981	860	917	711	474	442	1002	879	585	441	257	293
433297	641	5159	4902	9502	10606	10675	8530	1883	2141	1363	1517	635	664
53945	3380	83	91	22	15	22	34	173	145	48	61	114	133
100042453	717	3	3	1	5	1	2	4	4	7	7	2	2
212225	3483	0	0	0	0	0	0	0	0	0	0	0	0
227058	12318	110	169	79	132	220	185	15	14	3	2	3	8
100101919	12384	10	9	8	4	14	6	2	2	0	0	1	0
227059	4961	1936	2138	2181	1785	1952	1795	540	526	495	279	438	455
442837	542	0	0	0	0	0	0	0	0	0	0	0	0
56363	3339	44	38	9	17	11	12	2	4	1	0	0	1
442821	2552	0	1	0	2	2	1	0	0	0	0	0	0
20324	3055	4060	4455	2493	2833	4721	5195	936	940	276	345	72	65
109019	2838	3147	2577	2107	2327	4323	3718	3021	3927	2145	2581	1410	1433
100045066	3051	0	3	3	1	3	7	1	6	15	24	29	26
17912	5042	1603	1908	2129	1670	1817	1767	1636	1750	635	534	155	169
20849	2981	3	3	19	30	25	23	31	27	1	0	2	2
100042634	432	0	2	0	2	1	0	1	0	3	5	0	0
20846	5356	532	626	1056	894	970	731	837	879	1049	657	783	726
14660	7488	11098	10148	10106	8413	7574	6460	4644	4909	1947	1925	677	718
17936	5088	1947	2088	2836	2360	2980	2602	3106	4049	3715	3491	1275	1112
227094	3394	120	109	92	69	78	115	149	171	42	21	23	15
98682	5591	1148	1062	868	853	1565	1528	2392	2573	3865	3167	1963	1970
16329	1776	324	278	222	222	242	299	230	224	213	175	113	80
227095	1704	351	337	552	550	577	505	399	361	483	497	458	454
67080	834	51	119	361	321	298	269	8	5	5	6	81	62
17700	2682	0	0	0	0	2	0	0	0	0	0	0	0
69397	627	0	0	2	1	0	0	0	0	0	0	0	0
227099	3032	106	118	96	67	65	68	154	140	64	34	59	53
227102	1846	120	89	53	52	67	72	413	371	266	231	246	228
72085	2283	117	144	139	139	148	171	100	111	89	70	60	62
70396	2362	232	217	187	170	123	146	580	618	735	769	403	481
627872	12272	32	42	15	25	48	49	4	4	2	0	0	0
98267	3278	858	721	1198	832	516	468	317	369	292	223	348	359
329152	11336	90	77	194	158	253	234	19	12	5	4	50	40
78016	3807	5	1	2	6	3	1	4	5	2	2	0	0
98488	3005	277	208	196	183	228	292	259	272	138	134	135	147
241062	10579	232	242	238	240	229	231	307	315	90	93	69	77
329154	6140	1281	1385	484	549	637	582	256	270	29	48	13	18
81898	6192	18573	17467	16440	13835	10459	10757	15047	15956	12618	12309	6437	6220
67876	1733	5825	5636	5220	4648	3907	3331	4957	5033	4556	4029	2122	1818
15510	2332	5398	5221	5127	3496	2045	1768	6178	5944	5409	3715	2874	3158
15528	768	1138	1051	975	712	393	336	1130	1189	1018	716	470	448
19070	2826	1208	1084	1239	1152	1377	1209	1344	1452	898	776	491	455
74013	3677	245	268	79	110	83	187	404	298	22	14	109	105
212679	2882	235	230	299	216	125	111	264	300	251	175	158	141
75388	1258	0	0	0	0	0	0	0	2	0	0	1	1
227120	6555	562	1045	1126	962	916	1013	75	67	96	258	878	837
626009	1369	235	146	152	107	90	80	102	96	76	63	61	56
329159	1906	0	0	0	0	0	0	0	0	0	0	0	0
71066	1408	0	0	0	0	0	0	0	0	0	0	0	0
212712	5286	22	21	8	8	2	9	16	16	15	11	14	11
329160	3728	4	5	3	2	0	1	5	6	4	8	2	1
407809	3304	0	0	0	0	0	0	0	0	0	0	2	3
75323	2052	8	6	8	9	4	4	10	8	5	2	6	5
73467	3008	65	47	94	70	55	62	48	64	90	37	63	71
68736	1442	190	174	222	197	202	188	222	207	106	80	47	65
68115	1325	261	283	300	259	169	171	477	481	411	343	177	180
67198	4045	1238	968	958	1151	1741	1469	364	290	19	43	12	17
51960	2733	167	159	185	177	180	202	163	176	58	76	16	49
68549	5416	115	102	87	55	23	14	86	91	70	37	111	89
11761	4382	537	693	281	435	298	319	213	190	7	33	19	20
71724	4360	3	2	2	5	3	3	5	20	19	41	118	143
71872	4973	2	0	4	2	2	0	2	8	15	23	1	2
213043	4776	0	0	4	3	0	0	8	20	20	16	12	5
66882	2833	7308	7641	7408	5959	4673	3815	6744	7383	5580	4842	2089	2021
12747	3088	8421	6773	4161	3781	4822	6623	5909	6132	3033	2588	1941	2384
70225	1630	241	196	241	214	235	210	238	294	241	197	96	86
65102	2105	259	207	174	123	151	150	321	280	260	207	132	155
18393	3371	691	523	421	329	393	365	563	553	447	359	320	314
100504455	2126	4	2	3	4	0	2	3	2	1	3	1	1
213056	8695	194	166	188	155	181	186	330	374	318	345	332	303
66495	532	477	457	660	630	454	476	733	700	579	571	489	479
100504501	936	40	45	60	60	62	43	56	57	51	38	32	31
108812	1579	3	1	2	4	0	2	0	4	1	0	0	2
12633	7814	1726	1999	2552	2479	2614	2111	1047	1315	1444	1581	644	524
12370	2777	527	528	315	333	266	290	775	805	553	479	398	359
70827	6240	3938	3769	3757	3198	3270	2831	1587	2015	2198	2204	939	931
227154	2318	138	112	131	114	197	192	93	89	162	160	98	131
73463	2131	1	0	0	0	1	0	2	1	0	0	0	0
381259	1972	502	429	392	365	291	290	226	236	100	75	28	27
227157	3087	14	22	10	19	11	14	2	2	5	9	0	1
74018	7038	1259	1491	1660	1519	1583	1132	554	738	588	553	393	404
271697	1477	19	29	60	107	56	32	0	1	0	3	0	0
14369	4809	9624	5400	7854	8459	5579	6912	792	815	345	290	115	110
381260	3595	0	6	5	3	7	7	9	24	12	19	0	4
22218	1215	1809	1780	1724	1466	1438	1238	1873	2025	2046	1623	1012	890
55989	1976	14863	17215	18013	15650	12093	9593	5854	5874	3822	3320	2774	2552
100217459	53	12	4	4	4	7	6	5	3	0	0	2	8
100217421	63	7	3	3	1	1	3	0	1	0	1	3	0
12168	3507	1518	1790	1975	1872	1222	1058	791	818	458	420	172	222
100504533	314	125	122	146	134	121	90	52	60	26	46	14	15
72750	5532	1838	1602	1743	1225	861	749	820	890	1039	854	590	437
70375	3650	39	26	20	14	16	16	6	5	1	0	7	7
57750	3376	286	259	300	195	122	110	266	263	274	175	95	122
241066	2604	63	87	87	76	109	106	69	68	33	39	27	53
100504573	431	762	932	761	664	452	416	1039	1190	849	707	382	323
269198	12108	1182	1152	1139	1157	1790	1452	758	692	418	465	317	289
77951	1501	328	283	242	231	276	242	489	464	414	318	333	337
329165	5974	1091	839	1155	843	933	829	498	477	223	173	42	45
77300	9117	1160	1203	1519	1259	1085	1018	1083	1304	1089	983	817	700
100043027	207	342	268	358	318	241	187	467	433	606	586	790	745
100042533	791	7	8	6	6	9	13	5	16	14	11	6	7
12487	4317	1	0	2	2	2	1	1	3	0	3	9	13
100504618	845	0	0	0	0	0	0	0	0	0	0	0	0
12477	1931	4	0	3	1	0	1	0	0	0	0	0	0
54167	3254	1	1	2	0	1	0	0	2	1	0	0	0
77341	892	0	0	0	0	0	0	0	0	0	0	0	0
72823	8392	477	444	354	323	184	204	441	379	644	525	93	69
18187	8122	869	1176	1167	1510	791	633	182	245	399	284	46	41
74992	895	4	3	7	4	1	3	1	0	1	2	0	1
227195	13529	1899	1800	1992	1726	1596	1319	1804	2039	1360	1294	611	522
100380944	1802	30	39	35	31	31	28	41	35	21	8	3	10
100504668	1301	11	15	11	7	10	12	10	11	4	7	7	0
227197	2927	1391	1231	1790	1561	1324	1202	1380	1480	1386	1179	1540	1549
55949	1933	12512	13977	10741	8897	5143	4677	19932	21272	20303	18038	6171	6073
100217464	113	51	33	47	56	20	30	38	36	19	15	8	11
241070	1606	23	10	5	5	3	2	6	4	0	0	1	0
73884	12621	280	311	127	69	28	32	153	75	15	13	2	2
23792	6879	24	26	12	16	12	9	1	2	0	1	1	0
241073	2427	0	0	0	0	0	0	0	1	1	3	3	1
76668	1711	0	3	0	0	0	0	2	0	2	3	0	1
75619	3205	486	329	340	250	293	270	592	584	457	367	278	313
74426	1756	4	1	1	1	2	0	1	4	0	1	0	3
433315	1432	2	0	0	1	1	1	0	2	0	0	0	0
93691	1344	340	354	387	430	458	482	383	411	385	364	65	75
12912	8421	959	813	781	731	840	824	1140	1089	783	668	332	363
67099	2666	170	170	200	159	232	221	161	124	63	78	56	74
69941	713	51	49	22	23	19	16	30	30	56	24	67	65
227210	2927	1373	1310	797	705	721	558	335	423	223	160	97	78
14367	6914	3220	2317	1546	1040	1239	1380	1025	1241	2365	1776	638	584
241075	8562	763	680	362	435	583	646	305	277	107	104	87	63
70861	1353	0	0	0	0	0	0	0	0	0	0	0	0
667276	1020	21	31	21	18	5	5	27	19	15	19	13	8
12968	642	0	0	0	0	0	0	0	0	0	0	0	0
12967	635	0	0	0	0	0	0	0	0	0	0	0	0
12966	612	0	0	0	0	0	0	0	0	0	0	0	0
12965	605	0	0	0	0	0	0	0	0	0	0	0	0
12964	615	0	0	0	0	0	0	0	0	0	0	0	0
98303	2180	2	4	8	11	5	6	0	1	0	0	0	0
15926	2438	617	579	727	927	1311	1420	530	495	336	431	192	220
18711	11255	670	534	468	453	642	626	557	550	362	334	576	660
213527	2414	1	0	1	1	0	0	1	0	1	0	3	0
12969	622	0	0	0	0	0	0	0	0	0	0	0	0
17756	5520	2950	3524	3346	3852	2701	2198	2913	2443	787	975	174	194
100038569	1663	0	0	2	1	0	0	0	1	0	1	0	1
329178	13533	21	50	28	33	2	8	34	64	12	25	7	3
66646	2630	563	518	658	549	617	565	719	801	893	717	809	958
68691	4760	2428	2609	2495	1925	1762	1312	735	778	231	225	136	135
11363	1892	2056	2311	2061	2341	1073	823	2018	2415	2506	3029	390	323
100862127	515	8	10	10	5	1	7	9	14	6	7	2	2
17901	1111	0	3	1	0	0	0	5	2	0	0	0	0
14768	4461	997	1010	1070	1078	1034	993	831	834	449	379	256	225
227231	4704	0	0	0	0	1	0	1	1	1	0	1	0
13869	4257	5	9	6	8	2	3	144	170	207	151	94	51
100502712	2069	0	0	0	0	0	0	0	0	0	0	0	0
22779	9424	489	493	421	384	296	318	330	354	177	205	404	459
66722	2270	0	0	0	0	1	1	0	0	0	0	0	0
320460	4655	0	0	0	0	0	0	0	0	0	0	0	0
12021	5448	138	145	74	68	21	23	127	97	62	30	82	55
74591	8323	89	104	30	39	21	17	2	0	0	0	0	0
108147	2611	1471	1034	1224	960	750	754	1655	1435	906	623	459	544
14268	8312	1566	1532	644	609	681	407	260	334	112	50	58	83
100042814	1193	0	0	0	0	0	0	0	0	0	0	0	0
667931	1019	0	0	0	0	0	0	0	0	0	0	0	0
71134	1093	0	0	0	0	0	0	1	0	0	0	0	0
433319	483	3	3	3	4	4	1	2	5	2	1	0	3
381269	2493	578	660	427	299	250	232	51	49	50	26	14	12
111175	1186	303	218	279	267	122	159	196	152	237	207	225	200
271711	2815	7	9	13	11	16	24	0	0	0	0	0	0
22596	2556	1201	1178	1235	1172	976	932	558	521	418	434	416	380
381270	4187	26	29	17	13	23	32	0	0	1	2	0	0
54380	6715	700	576	677	607	632	679	471	415	268	267	204	218
319695	4573	0	0	1	0	1	1	0	1	0	0	0	0
19981	588	221	224	249	181	127	131	296	289	203	190	87	96
16008	1330	6145	3737	28282	28554	26047	24688	17	21	51	57	23	25
16011	5854	87765	97798	106228	55364	39195	41658	55835	53177	21269	26327	8875	9295
21958	427	0	0	0	0	0	0	0	0	0	0	0	0
69449	571	0	0	1	1	0	1	0	0	0	0	0	0
723792	1560	64	83	101	87	93	79	107	121	114	157	221	219
78718	551	5	5	12	14	5	6	5	7	8	13	16	19
